Best romantic vacation ever!!!!	Translation	Positive	Negative	EmotionRationale
Clean, modern, staff was outstanding	Clean, modern, staff was outstanding	3	-1	 Clean[0] modern[0] staff[0] was[0] outstanding[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Location	Location	1	-1	 Location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Convenient to Mag.	Convenient to Mag.	1	-1	 Convenient[0] to[0] Mag[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Everyone was so nice.	Everyone was so nice.	2	-1	 Everyone[0] was[0] so[0] nice[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great place to stay!	Great place to stay!	3	-1	 Great[2] place[0] to[0] stay[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Staff was Amazing, location was Great, the breakfast was...	Staff was Amazing, location was Great, the breakfast was.	3	-1	 Staff[0] was[0] Amazing[2] location[0] was[0] Great[2] the[0] breakfast[0] was[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
On the plus side, the people at the front desk were fine -...	On the plus side, the people at the front desk were fine -	3	-1	 On[0] the[0] plus[0] side[0] the[0] people[0] at[0] the[0] front[0] desk[0] were[0] fine[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Not one fault	Not one fault	2	-1	 Not[0] one[0] fault[-1][NegatedDueToPreviousWord] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Surprisingly quiet!	Surprisingly quiet!	1	-1	 Surprisingly[0] quiet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great location.	Great location.	3	-1	 Great[2] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
The location.	The location.	1	-1	 The[0] location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Excellent stay during a city trip holiday	Excellent stay during a city trip holiday	4	-1	 Excellent[3] stay[0] during[0] a[0] city[0] trip[0] holiday[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Loved the shower!	Loved the shower!	4	-1	 Loved[3] the[0] shower[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Paid too much for industrial window box.	Paid too much for industrial window box.	1	-1	 Paid[0] too[0] much[0] for[0] industrial[0] window[0] box[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Overall, Kinzie hotel was very nice. I would stay there again.	Overall, Kinzie hotel was very nice.<br> I would stay there again.	3	-1	 Overall[0] Kinzie[0] hotel[0] was[0] very[0] nice[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]] I[0] would[0] stay[0] there[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
Great location, very stylish, helpful staff especially the...	Great location, very stylish, helpful staff especially the.	3	-1	 Great[2] location[0] very[0] stylish[0] helpful[1] staff[0] especially[0] the[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Rooms were very clean.	Rooms were very clean.	1	-1	 Rooms[0] were[0] very[0] clean[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Excellent location	Excellent location	4	-1	 Excellent[3] location[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Customer service.	Customer service.	1	-1	 Customer[0] service[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I can't say enough good things about this hotel!	I can't say enough good things about this hotel!	2	-1	 I[0] can't[0] say[0] enough[0] good[1] things[0] about[0] this[0] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great price for amazing location!	Great price for amazing location!	3	-1	 Great[2] price[0] for[0] amazing[2] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Near to down town	Near to down town	1	-1	 Near[0] to[0] down[0] town[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Location, size of room, cocktail lounge from 5 pm to 8 pm,...	Location, size of room, cocktail lounge from 5 pm to 8 pm,	1	-1	 Location[0] size[0] of[0] room[0] cocktail[0] lounge[0] from[0] 5[0] pm[0] to[0] 8[0] pm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great comfy hotel, lovely location and great staff	Great comfy hotel, lovely location and great staff	3	-1	 Great[2] comfy[0] hotel[0] lovely[1] location[0] and[0] great[2] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i enjoyed the design, decoration and layout of the room	i enjoyed the design, decoration and layout of the room	3	-1	 i[0] enjoyed[2] the[0] design[0] decoration[0] and[0] layout[0] of[0] the[0] room[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Staff is very nice.	Staff is very nice.	3	-1	 Staff[0] is[0] very[0] nice[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
It was a great holiday, staff were very helpful.	It was a great holiday, staff were very helpful.	3	-1	 It[0] was[0] a[0] great[2] holiday[0] staff[0] were[0] very[0] helpful[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Bed was amazing, bathroom was amazing, great view	Bed was amazing, bathroom was amazing, great view	4	-1	 Bed[0] was[0] amazing[2] bathroom[0] was[0] amazing[2] great[2][+1 MultiplePositiveWords] view[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
The bed was comfortable with a really good sized bathroom.	The bed was comfortable with a really good sized bathroom.	3	-1	 The[0] bed[0] was[0] comfortable[1] with[0] a[0] really[0] good[1][1 LastWordBoosterStrength] sized[0] bathroom[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
good choice	good choice	2	-1	 good[1] choice[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great room at a perfect location.	Great room at a perfect location.	3	-1	 Great[2] room[0] at[0] a[0] perfect[1] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Awesome place electrifying environment	Awesome place electrifying environment	3	-1	 Awesome[2] place[0] electrifying[0] environment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Super comfortable beds and free breakfast	Super comfortable beds and free breakfast	3	-1	 Super[2] comfortable[1] beds[0] and[0] free[0] breakfast[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
My overall experience was great!	My overall experience was great!	3	-1	 My[0] overall[0] experience[0] was[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great Boutique Hotel located in a happening part of Chicago!	Great Boutique Hotel located in a happening part of Chicago!	3	-1	 Great[2] Boutique[0] Hotel[0] located[0] in[0] a[0] happening[0] part[0] of[0] Chicago[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Location is great	Location is great	3	-1	 Location[0] is[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Impeccable service.	Impeccable service.	1	-1	 Impeccable[0] service[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Central hotel	Central hotel	1	-1	 Central[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Have been there four or five times so I think that tells you...	Have been there four or five times so I think that tells you.	1	-1	 Have[0] been[0] there[0] four[0] or[0] five[0] times[0] so[0] I[0] think[0] that[0] tells[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Favorite place to stay in Chicago	Favorite place to stay in Chicago	2	-1	 Favorite[1] place[0] to[0] stay[0] in[0] Chicago[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great location and lovely rooms	Great location and lovely rooms	3	-1	 Great[2] location[0] and[0] lovely[1] rooms[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Staff was wonderful, overall clean quiet hotel but not very comfortable.	Staff was wonderful, overall clean quiet hotel but not very comfortable.	3	-3	 Staff[0] was[0] wonderful[2] overall[0] clean[0] quiet[0] hotel[0] but[0] not[0] very[0] comfortable[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
Beautiful hotel with excellent location	Beautiful hotel with excellent location	4	-1	 Beautiful[2] hotel[0] with[0] excellent[3] location[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
I had someone partying and playing super loud music above me...	I had someone partying and playing super loud music above me.	3	-1	 I[0] had[0] someone[0] partying[0] and[0] playing[1] super[2] loud[0] music[0] above[0] me[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Location and room/decor, amenities	Location and room/decor, amenities	1	-1	 Location[0] and[0] room/decor[0] amenities[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Nice happy hour drink.	Nice happy hour drink.	2	-1	 Nice[1] happy[1] hour[0] drink[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Loved our room, bed, breakfast buffet, fridge in room, free...	Loved our room, bed, breakfast buffet, fridge in room, free.	4	-1	 Loved[3] our[0] room[0] bed[0] breakfast[0] buffet[0] fridge[0] in[0] room[0] free[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
We had a really rude man greet us at the check in counter.	We had a really rude man greet us at the check in counter.	1	-4	 We[0] had[0] a[0] really[0] rude[-2][-1 LastWordBoosterStrength] man[0] greet[0] us[0] at[0] the[0] check[0] in[0] counter[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
The convienance to everything.	The convienance to everything.	1	-1	 The[0] convienance[0] to[0] everything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
We would certainly stay with you again! Good location!	We would certainly stay with you again!<br> Good location!	2	-1	 We[0] would[0] certainly[0] stay[0] with[0] you[0] again[0] [[Sentence=-1,1=word max, 1-5]] Good[1] location[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great neighborhood, small place to stay with good service .	Great neighborhood, small place to stay with good service .	3	-1	 Great[2] neighborhood[0] small[0] place[0] to[0] stay[0] with[0] good[1] service[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Nice	Nice	2	-1	 Nice[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Very comfortable bed.	Very comfortable bed.	3	-1	 Very[0] comfortable[1][1 LastWordBoosterStrength] bed[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
No fuss, no hassle, delivers exactly what it says.	No fuss, no hassle, delivers exactly what it says.	1	-2	 No[0] fuss[-1] no[0] hassle[-1] delivers[0] exactly[0] what[0] it[0] says[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Central hotel	Central hotel	1	-1	 Central[0] hotel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Amazing experience and location! Couldn't have picked a better hotel than the Kinzie	Amazing experience and location!<br> Couldn't have picked a better hotel than the Kinzie	3	-1	 Amazing[2] experience[0] and[0] location[0] [[Sentence=-1,3=word max, 1-5]] Couldn't[0] have[0] picked[0] a[0] better[0] hotel[0] than[0] the[0] Kinzie[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
Fantastic hotel with fantastic staff.	Fantastic hotel with fantastic staff.	3	-1	 Fantastic[2] hotel[0] with[0] fantastic[2] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Comfort relaxed	Comfort relaxed	3	-1	 Comfort[1] relaxed[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Why didn't I know about Kinzie West That is what you...	Why didn't I know about Kinzie West That is what you.	1	-1	 Why[0] didn't[0] I[0] know[0] about[0] Kinzie[0] West[0] That[0] is[0] what[0] you[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
The view of the alley way buildings	The view of the alley way buildings	1	-1	 The[0] view[0] of[0] the[0] alley[0] way[0] buildings[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Over all it was very nice. Not sure I would stay again .If they don't change the mattress out .	Over all it was very nice.<br> Not sure I would stay again .<br>If they don't change the mattress out .	3	-1	 Over[0] all[0] it[0] was[0] very[0] nice[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]] Not[0] sure[0] I[0] would[0] stay[0] again[0] [[Sentence=-1,1=word max, 1-5]] If[0] they[0] don't[0] change[0] the[0] mattress[0] out[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
Not for Business Travel	Not for Business Travel	1	-1	 Not[0] for[0] Business[0] Travel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
loved every thing about this hotel	loved every thing about this hotel	4	-1	 loved[3] every[0] thing[0] about[0] this[0] hotel[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Staff was extremely helpful.	Staff was extremely helpful.	4	-1	 Staff[0] was[0] extremely[0] helpful[1][2 LastWordBoosterStrength] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Ac did not work	Ac did not work	1	-1	 Ac[0] did[0] not[0] work[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I have good time in good looking hotel	I have good time in good looking hotel	2	-1	 I[0] have[0] good[1] time[0] in[0] good[1] looking[0] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Happy hour snacks.	Happy hour snacks.	2	-1	 Happy[1] hour[0] snacks[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Nice amenities but beds should be replaced.	Nice amenities but beds should be replaced.	2	-1	 Nice[1] amenities[0] but[0] beds[0] should[0] be[0] replaced[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Location was near sightseeing.	Location was near sightseeing.	1	-1	 Location[0] was[0] near[0] sightseeing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
All the staff was genuinely friendly.	All the staff was genuinely friendly.	2	-1	 All[0] the[0] staff[0] was[0] genuinely[0] friendly[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Staff was nice and helpful.	Staff was nice and helpful.	2	-1	 Staff[0] was[0] nice[1] and[0] helpful[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Excellent location and great continental breakfast	Excellent location and great continental breakfast	4	-1	 Excellent[3] location[0] and[0] great[2] continental[0] breakfast[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Loved the bed and bathroom :) Also, the service was...	Loved the bed and bathroom bathroom Also, the service was.	4	-1	 Loved[3] the[0] bed[0] and[0] bathroom[0][+1 Emoticon] Also[0] the[0] service[0] was[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Rather poor for the price of a nights stay.	Rather poor for the price of a nights stay.	1	-2	 Rather[0] poor[-1] for[0] the[0] price[0] of[0] a[0] nights[0] stay[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
I will not stay at montage hotel again	I will not stay at montage hotel again	1	-1	 I[0] will[0] not[0] stay[0] at[0] montage[0] hotel[0] again[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Location and comfort	Location and comfort	2	-1	 Location[0] and[0] comfort[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
What not to like about this property !	What not to like about this property !	1	-2	 What[0] not[0] to[0] like[1][NegatedDueToPreviousWord] about[0] this[0] property[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Helpful staff, excellent service, comfort, location, luxury.	Helpful staff, excellent service, comfort, location, luxury.	4	-1	 Helpful[1] staff[0] excellent[3] service[0] comfort[1] location[0] luxury[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Location decor bar service	Location decor bar service	1	-1	 Location[0] decor[0] bar[0] service[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Location.	Location.	1	-1	 Location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Fantastic location, great personal attention from the staff.	Fantastic location, great personal attention from the staff.	3	-1	 Fantastic[2] location[0] great[2] personal[0] attention[0] from[0] the[0] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
The gentleman at reception and the valets	The gentleman at reception and the valets	1	-1	 The[0] gentleman[0] at[0] reception[0] and[0] the[0] valets[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
The location of the hotel is amazing.	The location of the hotel is amazing.	3	-1	 The[0] location[0] of[0] the[0] hotel[0] is[0] amazing[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Super hotel	Super hotel	3	-1	 Super[2] hotel[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Perfect hotel	Perfect hotel	2	-1	 Perfect[1] hotel[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Love the game room and bar !	Love the game room and bar !	3	-1	 Love[2] the[0] game[0] room[0] and[0] bar[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
loved the room, decor and the plinko wall and their game...	loved the room, decor and the plinko wall and their game.	4	-1	 loved[3] the[0] room[0] decor[0] and[0] the[0] plinko[0] wall[0] and[0] their[0] game[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
ber cool.	ber cool.	2	-1	 ber[0] cool[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great location.	Great location.	3	-1	 Great[2] location[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Modern but old facilities and lumpy beds	Modern but old facilities and lumpy beds	1	-1	 Modern[0] but[0] old[0] facilities[0] and[0] lumpy[0] beds[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great location but staff would benefit from hospitality related training.	Great location but staff would benefit from hospitality related training.	3	-1	 Great[2] location[0] but[0] staff[0] would[0] benefit[0] from[0] hospitality[0] related[0] training[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
I liked that the lobby was filled with fun games and a great...	I liked that the lobby was filled with fun games and a great.	3	-1	 I[0] liked[2] that[0] the[0] lobby[0] was[0] filled[0] with[0] fun[1] games[0] and[0] a[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Great place. Great location. Great staff.	Great place.<br> Great location.<br> Great staff.	3	-1	 Great[2] place[0] [[Sentence=-1,3=word max, 1-5]] Great[2] location[0] [[Sentence=-1,3=word max, 1-5]] Great[2] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Central location, nice rooms, comfortable bed.	Central location, nice rooms, comfortable bed.	2	-1	 Central[0] location[0] nice[1] rooms[0] comfortable[1] bed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Nice staff	Nice staff	2	-1	 Nice[1] staff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Great place to stay, near-by town down as well as conference center.	Great place to stay, near-by town down as well as conference center.	3	-1	 Great[2] place[0] to[0] stay[0] near[0] by[0] town[0] down[0] as[0] well[0] as[0] conference[0] center[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the decor	the decor	1	-1	 the[0] decor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great location in SOMA, new property, friendly staff.	Great location in SOMA, new property, friendly staff.	3	-1	 Great[2] location[0] in[0] SOMA[0] new[0] property[0] friendly[1] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Fab!	Fab!	3	-1	 Fab[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
A stylish hotel with convenient location	A stylish hotel with convenient location	1	-1	 A[0] stylish[0] hotel[0] with[0] convenient[0] location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
I love the rustic modern decor, the size of my room and...	I love the rustic modern decor, the size of my room and.	3	-1	 I[0] love[2] the[0] rustic[0] modern[0] decor[0] the[0] size[0] of[0] my[0] room[0] and[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
The atmosphere and the unique design , comfortable beds and...	The atmosphere and the unique design , comfortable beds and.	2	-1	 The[0] atmosphere[0] and[0] the[0] unique[0] design[0] comfortable[1] beds[0] and[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Trendy boutique hotel with staff that goes the extra mile!	Trendy boutique hotel with staff that goes the extra mile!	1	-1	 Trendy[0] boutique[0] hotel[0] with[0] staff[0] that[0] goes[0] the[0] extra[0] mile[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Noise!	Noise!	1	-1	 Noise[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everything	everything	1	-1	 everything[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Central Location	Central Location	1	-1	 Central[0] Location[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Hotel staff very helpful and friendly, your service was...	Hotel staff very helpful and friendly, your service was.	3	-1	 Hotel[0] staff[0] very[0] helpful[1][1 LastWordBoosterStrength] and[0] friendly[1] your[0] service[0] was[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Centrally located hotel with friendly staff!	Centrally located hotel with friendly staff!	2	-1	 Centrally[0] located[0] hotel[0] with[0] friendly[1] staff[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Everything , I travel the world since I was I child and I...	Everything , I travel the world since I was I child and I.	1	-1	 Everything[0] I[0] travel[0] the[0] world[0] since[0] I[0] was[0] I[0] child[0] and[0] I[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
GREAT PROPERTY FALSE Advertising GAME ROOM CLOSED	GREAT PROPERTY FALSE Advertising GAME ROOM CLOSED	3	-1	 GREAT[2] PROPERTY[0] FALSE[0] Advertising[0] GAME[0] ROOM[0] CLOSED[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
big new room with good light	big new room with good light	2	-1	 big[0] new[0] room[0] with[0] good[1] light[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
You have many other options near by	You have many other options near by	1	-1	 You[0] have[0] many[0] other[0] options[0] near[0] by[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Activities for kids, pool and virtual reality	Activities for kids, pool and virtual reality	1	-1	 Activities[0] for[0] kids[0] pool[0] and[0] virtual[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Great base for a weekend in the City!	Great base for a weekend in the City!	3	-1	 Great[2] base[0] for[0] a[0] weekend[0] in[0] the[0] City[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Good location, comfortable bed	Good location, comfortable bed	2	-1	 Good[1] location[0] comfortable[1] bed[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Wonderful	Wonderful	3	-1	 Wonderful[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Central to lots of sites and walking around is convenient	Central to lots of sites and walking around is convenient	1	-1	 Central[0] to[0] lots[0] of[0] sites[0] and[0] walking[0] around[0] is[0] convenient[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Convenient location for business and classes in SOMA.	Convenient location for business and classes in SOMA.	1	-1	 Convenient[0] location[0] for[0] business[0] and[0] classes[0] in[0] SOMA[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Enjoyed our stay at Zetta.	Enjoyed our stay at Zetta.	3	-1	 Enjoyed[2] our[0] stay[0] at[0] Zetta[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Fabolous boutique hotel in central San Francisco	Fabolous boutique hotel in central San Francisco	1	-1	 Fabolous[0] boutique[0] hotel[0] in[0] central[0] San[0] Francisco[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Close to shopping, cable cars, and street cars. Great game room and friendly staff.	Close to shopping, cable cars, and street cars.<br> Great game room and friendly staff.	3	-1	 Close[0] to[0] shopping[0] cable[0] cars[0] and[0] street[0] cars[0] [[Sentence=-1,1=word max, 1-5]] Great[2] game[0] room[0] and[0] friendly[1] staff[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
1) Location, perfect for walking around city	1) Location, perfect for walking around city	2	-1	 1[0] Location[0] perfect[1] for[0] walking[0] around[0] city[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Trendy hotel in the heart of the city	Trendy hotel in the heart of the city	1	-1	 Trendy[0] hotel[0] in[0] the[0] heart[0] of[0] the[0] city[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Rooms were big and very clean, the smell of the room was...	Rooms were big and very clean, the smell of the room was.	1	-1	 Rooms[0] were[0] big[0] and[0] very[0] clean[0] the[0] smell[0] of[0] the[0] room[0] was[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Excellent experience!	Excellent experience!	4	-1	 Excellent[3] experience[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
My kids loved the place with games, billar, virtual reality...	My kids loved the place with games, billar, virtual reality.	4	-1	 My[0] kids[0] loved[3] the[0] place[0] with[0] games[0] billar[0] virtual[0] reality[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
The games room was a blast	The games room was a blast	1	-1	 The[0] games[0] room[0] was[0] a[0] blast[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Not great. Don't believe the hype.	Not great.<br> Don't believe the hype.	1	-3	 Not[0] great[2][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]] Don't[0] believe[0] the[0] hype[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
Location and staff were excellent, hotel was clean and well...	Location and staff were excellent, hotel was clean and well.	4	-1	 Location[0] and[0] staff[0] were[0] excellent[3] hotel[0] was[0] clean[0] and[0] well[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
Staff are approachable and definitely very helpful!	Staff are approachable and definitely very helpful!	3	-1	 Staff[0] are[0] approachable[0] and[0] definitely[0] very[0] helpful[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Facilities were great.	Facilities were great.	3	-1	 Facilities[0] were[0] great[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
Ok for a few nights, terribly noisy	Ok for a few nights, terribly noisy	1	-4	 Ok[0] for[0] a[0] few[0] nights[0] terribly[-3] noisy[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
Fab hotel. Funky. Good location. Huge rooms	Fab hotel.<br> Funky.<br> Good location.<br> Huge rooms	3	-1	 Fab[2] hotel[0] [[Sentence=-1,3=word max, 1-5]] Funky[0] [[Sentence=-1,1=word max, 1-5]] Good[1] location[0] [[Sentence=-1,2=word max, 1-5]] Huge[0] rooms[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
